"obligations_incurred_by_program_object_class_cpe","reporting_period_start","budget_function_code","budget_function_title","budget_subfunction_code","budget_subfunction_title","major_object_class","major_object_class_name","object_class","object_class_name"
0,"2018-04-01","550","Health","554","Consumer and occupational health and safety","30","Acquisition of assets","330","Investments and loans"
4553153.68,"2018-04-01","800","General Government","806","General purpose fiscal assistance","90","Other","920","Undistributed"
49189739.92,"2018-04-01","370","Commerce and Housing Credit","376","Other advancement of commerce","20","Contractual services and supplies","232","Rental payments to others"
0,"2018-04-01","700","Veterans Benefits and Services","702","Veterans education, training, and rehabilitation","40","Grants and fixed charges","420","Insurance claims and indemnities"
181019.57,"2018-04-01","370","Commerce and Housing Credit","376","Other advancement of commerce","20","Contractual services and supplies","256","Medical care"
9776158.53,"2018-04-01","700","Veterans Benefits and Services","705","Other veterans benefits and services","10","Personnel compensation and benefits","113","Other than full-time permanent"
24115.37,"2018-04-01","600","Income Security","605","Food and nutrition assistance","40","Grants and fixed charges","430","Interest and dividends"
-65892828.5,"2018-04-01","150","International Affairs","151","International development and humanitarian assistance","30","Acquisition of assets","320","Land and structures"
0,"2018-04-01","150","International Affairs","154","Foreign information and exchange activities","20","Contractual services and supplies","253","Other goods and services from Federal sources"
231037540.86,"2018-04-01","750","Administration of Justice","753","Federal correctional activities","10","Personnel compensation and benefits","115","Other personnel compensation"
774217564.11,"2018-04-01","500","Education, Training, Employment, and Social Services","505","Other labor services","10","Personnel compensation and benefits","111","Full-time permanent"
48490413.87,"2018-04-01","750","Administration of Justice","752","Federal litigative and judicial activities","20","Contractual services and supplies","260","Supplies and materials"
21189115.88,"2018-04-01","600","Income Security","602","Federal employee retirement and disability","10","Personnel compensation and benefits","130","Benefits for former personnel"
829137791.48,"2018-04-01","300","Natural Resources and Environment","303","Recreational resources","10","Personnel compensation and benefits","111","Full-time permanent"
655316195.98,"2018-04-01","370","Commerce and Housing Credit","371","Mortgage credit","20","Contractual services and supplies","253","Other goods and services from Federal sources"
1122586716.55,"2018-04-01","250","General Science, Space, and Technology","251","General science and basic research","30","Acquisition of assets","320","Land and structures"
19851.42,"2018-04-01","400","Transportation","407","Other transportation","40","Grants and fixed charges","420","Insurance claims and indemnities"
203451635.64,"2018-04-01","250","General Science, Space, and Technology","251","General science and basic research","10","Personnel compensation and benefits","111","Full-time permanent"
2112700.88,"2018-04-01","300","Natural Resources and Environment","304","Pollution control and abatement","20","Contractual services and supplies","220","Transportation of things"
1642095.36,"2018-04-01","250","General Science, Space, and Technology","251","General science and basic research","20","Contractual services and supplies","260","Supplies and materials"
11540152.48,"2018-04-01","270","Energy","276","Energy information, policy, and regulation","10","Personnel compensation and benefits","113","Other than full-time permanent"
116497819.1,"2018-04-01","300","Natural Resources and Environment","302","Conservation and land management","30","Acquisition of assets","320","Land and structures"
902396845.96,"2018-04-01","550","Health","551","Health care services","10","Personnel compensation and benefits","121","Civilian personnel benefits"
12182630.11,"2018-04-01","150","International Affairs","153","Conduct of foreign affairs","10","Personnel compensation and benefits","130","Benefits for former personnel"
483049966.77,"2018-04-01","450","Community and Regional Development","452","Area and regional development","10","Personnel compensation and benefits","111","Full-time permanent"
138922.48,"2018-04-01","300","Natural Resources and Environment","302","Conservation and land management","40","Grants and fixed charges","430","Interest and dividends"
336675876.05,"2018-04-01","370","Commerce and Housing Credit","376","Other advancement of commerce","30","Acquisition of assets","310","Equipment"
3623.74,"2018-04-01","800","General Government","805","Central personnel management","40","Grants and fixed charges","440","Refunds"
96671718.02,"2018-04-01","250","General Science, Space, and Technology","252","Space flight, research, and supporting activities","20","Contractual services and supplies","233","Communications, utilities, and miscellaneous charges"
0,"2018-04-01","570","Medicare","571","Medicare","20","Contractual services and supplies","251","Advisory and assistance services"
364451.52,"2018-04-01","150","International Affairs","155","International financial programs","20","Contractual services and supplies","258","Subsistence and support of persons"
