"Agency","Subagency","Title","federal_account_id","q","fy","reporting_period_end","Obligation","Unobligated"
"General Services Administration","Real Property Activities","Federal Buildings Fund, General Services Administration",4732,"2","2018","2018-03-31",5057068451.38,12016747243.08
"General Services Administration","Real Property Activities","Real Property Relocation, General Services Administration",4722,"2","2018","2018-03-31",0,11380887.14
"General Services Administration","Real Property Activities","Unconditional Gifts of Real, Personal, or Other Property, General Services Administration",4748,"2","2018","2018-03-31",0,282147.49
"General Services Administration","Supply and Technology Activities","Acquisition Services Fund, General Services Administration",4730,"2","2018","2018-03-31",6512852985.01,5960612829.35
"General Services Administration","Supply and Technology Activities","Expenses of Transportation Audit Contracts and Contract Administration, General Services Administration",4737,"2","2018","2018-03-31",7393453.57,14841437.08
"General Services Administration","Supply and Technology Activities","Proceeds from Sale of Surplus Property, General Services Administration",4746,"2","2018","2018-03-31",0,0
"General Services Administration","Supply and Technology Activities","Technology Modernization Fund, General Services Administration",4727,"2","2018","2018-03-31",0,100000000
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)","Aeronautics, National Aeronautics and Space Administration",5636,"2","2018","2018-03-31",208306193.21,187212558.25
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)","Construction and Environmental Compliance and Restoration, National Aeronautics and Space Administration",5638,"2","2018","2018-03-31",113747064.48,537750534.75
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)","Education, National Aeronautics and Space Administration",5637,"2","2018","2018-03-31",42964406.46,29868778.83
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)","Endeavor Teacher Fellowship Trust Fund, National Aeronautics and Space Administration",5646,"2","2018","2018-03-31",0,44708.77
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)","Exploration, National Aeronautics and Space Administration",5634,"2","2018","2018-03-31",2217361640.45,497794741.03
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)","Gifts and Donations, National Aeronautics and Space Administration",5649,"2","2018","2018-03-31",0,520494.42
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)","Human Space Flight, National Aeronautics and Space Administration",5624,"2","2018","2018-03-31",1345.99,9942832.8
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)","Mission Support, National Aeronautics and Space Administration",5625,"2","2018","2018-03-31",48.73,1752442.01
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)","National Space Grant Program, National Aeronautics and Space Administration",5647,"2","2018","2018-03-31",0,66851.91
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)","Office of Inspector General, National Aeronautics and Space Administration",5622,"2","2018","2018-03-31",17672225.25,7562638.43
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)","Safety, Security and Mission Services, National Aeronautics and Space Administration",5632,"2","2018","2018-03-31",2351130239.13,2413531330.02
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)","Science, Aeronautics and Technology, National Aeronautics and Space Administration",5623,"2","2018","2018-03-31",0,915959.98
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)","Science, Aeronautics, and Exploration, National Aeronautics and Space Administration",5626,"2","2018","2018-03-31",6097,1006301.18
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)","Science, National Aeronautics and Space Administration",5630,"2","2018","2018-03-31",2292051578.63,1336699866
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)","Science, Space and Technology Education Trust Fund, National Aeronautics and Space Administration",5648,"2","2018","2018-03-31",500000,333899.18
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)","Space Flight Capabilities, National Aeronautics and Space Administration",5627,"2","2018","2018-03-31",2289470511.87,956328579.08
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)","Space Technology, National Aeronautics Space Administration",5639,"2","2018","2018-03-31",220515046.34,230130502.93
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)","Working Capital Fund, National Aeronautics and Space Administration",5640,"2","2018","2018-03-31",202232070.75,319251214.31
"National Science Foundation","National Science Foundation (no sub-agencies)","Agency Operations and Award Management, National Science Foundation",4753,"2","2018","2018-03-31",137073189.23,211581323.37
"National Science Foundation","National Science Foundation (no sub-agencies)","Donations, National Science Foundation",4761,"2","2018","2018-03-31",26715229.84,20721229.14
"National Science Foundation","National Science Foundation (no sub-agencies)","Education and Human Resources, National Science Foundation",4751,"2","2018","2018-03-31",86160755.2,898449550.06
"National Science Foundation","National Science Foundation (no sub-agencies)","Major Research Equipment and Facilities Construction, National Science Foundation",4757,"2","2018","2018-03-31",54796822.34,159906448.4
"National Science Foundation","National Science Foundation (no sub-agencies)","Office of Inspector General - Recovery Act, National Science Foundation",4755,"2","2018","2018-03-31",0,4168.73
"National Science Foundation","National Science Foundation (no sub-agencies)","Office of Inspector General, National Science Foundation",4754,"2","2018","2018-03-31",6423493.19,10002484.46
"National Science Foundation","National Science Foundation (no sub-agencies)","Office of the National Science Board, National Science Foundation",4756,"2","2018","2018-03-31",1987183.08,2970511.84
"National Science Foundation","National Science Foundation (no sub-agencies)","Research and Related Activities, National Science Foundation",4749,"2","2018","2018-03-31",1178556944.38,5607808768.82
"National Science Foundation","National Science Foundation (no sub-agencies)","Salaries and Expenses, H-1B Funded, Education  and Human Resources, National Science Foundation",4759,"2","2018","2018-03-31",74447499.96,58745629.48
"Nuclear Regulatory Commission","Nuclear Regulatory Commission (no sub-agencies)","Nuclear Facilities Fees Fund, Nuclear Regulatory Commission",4624,"2","2018","2018-03-31",0,387911375.65
"Nuclear Regulatory Commission","Nuclear Regulatory Commission (no sub-agencies)","Office of the Inspector General, Nuclear Regulatory Commission",4623,"2","2018","2018-03-31",6261241.99,10221679.72
"Nuclear Regulatory Commission","Nuclear Regulatory Commission (no sub-agencies)","Salaries and Expenses, Nuclear Regulatory Commission",4622,"2","2018","2018-03-31",356102982.55,607416509.19
"Office of Personnel Management","Office of Personnel Management (no sub-agencies)","Civil Service Retirement and Disability Fund, Office of Personnel Management",4580,"2","2018","2018-03-31",42795744604.42,43405915377.58
"Office of Personnel Management","Office of Personnel Management (no sub-agencies)","Employees' Health Benefits Fund, Office of Personnel Management",4582,"2","2018","2018-03-31",25808637882.81,40867015826.84
"Office of Personnel Management","Office of Personnel Management (no sub-agencies)","Employees' Life Insurance Fund, Office of Personnel Management",4581,"2","2018","2018-03-31",1581663233.43,47601930996.93
"Office of Personnel Management","Office of Personnel Management (no sub-agencies)","Flexible Benefits Plan Reserve, Office of Personnel Management",4574,"2","2018","2018-03-31",7021472.23,62619715.19
"Office of Personnel Management","Office of Personnel Management (no sub-agencies)","Government Payment for Annuitants, Employee Life Insurance     Benefits, Office of Personnel Management",4572,"2","2018","2018-03-31",21066454.73,22933545.27
"Office of Personnel Management","Office of Personnel Management (no sub-agencies)","Government Payment for Annuitants, Employees' Health Benefits, Office of Personnel Management",4570,"2","2018","2018-03-31",6393703683.99,6523296316.01
