"Agency","Subagency","accountID","Title","Obligation","Unobligated","federal_account_id"
"Department of Housing and Urban Development","Government National Mortgage Association",2372,"Guarantees of Mortgage-Backed Securities Fund, Government National Mortgage Association, Housing and Urban Development",95615.24,99754944.12,5746
"Department of Housing and Urban Development","Management and Administration",2374,"Information Technology Fund, Management and Administration, Housing and Urban Development",44484114.55,184910808.8,5748
"Department of Housing and Urban Development","Management and Administration",2375,"Working Capital Fund, Management and Administration, Housing and Urban Development",19533655.44,34006795.56,5749
"Department of Housing and Urban Development","Management and Administration",2381,"Gifts and Bequests, Housing and Urban Development",0,0.14,5755
"Department of Housing and Urban Development","Housing Programs",2382,"Manufactured Housing Fees Trust Fund, Housing Programs, Housing and Urban Development",980029.44,6998371.89,5756
"Department of Housing and Urban Development","Community Planning and Development",2383,"Housing Trust Fund, Community Planning and Development, Housing and Urban Development",172533095.9,269236075.6,5757
"US Agencies - Non-CFO Act","National Archives and Records Administration",2384,"Operating Expenses, National Archives and Records Administration",179943496.7,54704844.5,5758
"US Agencies - Non-CFO Act","National Archives and Records Administration",2385,"National Historical Publications and Records Commission, National Archives and Records Administration",206409,5495045.91,5759
"US Agencies - Non-CFO Act","National Archives and Records Administration",2386,"Repairs and Restoration, National Archives and Records Administration",886919.6,4937058.37,5760
"US Agencies - Non-CFO Act","National Archives and Records Administration",2387,"Electronic Records Archive, National Archives and Records Administration",0,8537549.06,5761
"US Agencies - Non-CFO Act","National Archives and Records Administration",2388,"Office of Inspector General, National Archives and Records Administration",2048583.63,3031793.38,5762
"US Agencies - Non-CFO Act","National Archives and Records Administration",2389,"Records Center Revolving Fund, National Archives and Records Administration",104525991.3,154083255.1,5763
"US Agencies - Non-CFO Act","National Archives and Records Administration",2390,"National Archives Gift Fund, National Archives and Records Administration",1134430.49,2961163.26,5764
"US Agencies - Non-CFO Act","National Archives and Records Administration",2391,"National Archives Trust Fund, National Archives and Records Administration",9491632.5,15632233.67,5765
"Department of Energy","Energy Programs",2399,"Energy Information Administration, Energy",48061807.93,80403091.74,5774
"Department of Energy","Energy Programs",2435,"Tribal Indian Energy Resource Development Loan Guarantee Program, Energy Programs, Energy",59759.8,8940240.2,5816
"Department of Defense","Selective Service System",2478,"Salaries and Expenses, Selective Service System",10288702.06,4364849.39,5861
"US Agencies - Non-CFO Act","Federal Mediation and Conciliation Service",2527,"Salaries and Expenses, Federal Mediation and Conciliation Service",22104384.86,13005694.35,5922
"US Agencies - Non-CFO Act","Corps of Engineers--Civil Works",2530,"Mississippi River and Tributaries, Corps of Engineers-Civil",39978332.95,353483978,5925
"US Agencies - Non-CFO Act","Corps of Engineers--Civil Works",2531,"Investigations, Corps of Engineers, Civil",29600104.31,133652095.6,5927
"US Agencies - Non-CFO Act","Corps of Engineers--Civil Works",2532,"Construction, Corps of Engineers, Civil",390368050.7,5969052703,5928
"US Agencies - Non-CFO Act","Corps of Engineers--Civil Works",2533,"Operation and Maintenance, Corps of Engineers-Civil",598262198.4,1600110214,5929
"US Agencies - Non-CFO Act","Corps of Engineers--Civil Works",2534,"Expenses, Corps of Engineers-Civil",45098925.69,28557325.86,5930
"US Agencies - Non-CFO Act","Corps of Engineers--Civil Works",2535,"Flood Control and Coastal Emergencies, Corps of Engineers, Civil",4504667685,3296632994,5931
"US Agencies - Non-CFO Act","Corps of Engineers--Civil Works",2536,"Regulatory Program, Corps of Engineers, Civil",49690557.01,38990469.34,5932
"US Agencies - Non-CFO Act","Corps of Engineers--Civil Works",2537,"Washington Aqueduct Capital Improvements, Corps of Engineers-Civil",2749.18,3995.06,5933
"US Agencies - Non-CFO Act","Corps of Engineers--Civil Works",2538,"Formerly Utilized Sites Remedial Action Program, Corps of Engineers-Civil",10139307.31,28634398.83,5935
"US Agencies - Non-CFO Act","Corps of Engineers--Civil Works",2539,"Office of Assistant Secretary of the Army for Civil Works, Corps of Engineers, Civil",894281,1412666.16,5936
"US Agencies - Non-CFO Act","Corps of Engineers--Civil Works",2542,"Revolving Fund, Corps of Engineers, Civil",2062929865,4165656152,5944
"US Agencies - Non-CFO Act","Corps of Engineers--Civil Works",2544,"Hydraulic Mining in California, Debris Fund, Corps of Engineers-Civil",47948.55,95433.63,5946
"US Agencies - Non-CFO Act","Corps of Engineers--Civil Works",2546,"Maintenance and Operation of Dams and Other Improvements of Navigable Waters, Corps of Engineers - Civil",1157013.72,30019754.02,5948
"US Agencies - Non-CFO Act","Corps of Engineers--Civil Works",2548,"Interagency America the Beautiful Pass Revenues, Corps of Engineers-Civil",0,1229984.09,5950
"US Agencies - Non-CFO Act","Corps of Engineers--Civil Works",2549,"Special Use Permit Fees, Corps of Engineers-Civil",0,814916.17,5951
"US Agencies - Non-CFO Act","Corps of Engineers--Civil Works",2554,"South Dakota Terrestrial Wildlife Habitat Restoration Trust Fund, Corps of Engineers - Civil",0,6315085.58,5956
"US Agencies - Non-CFO Act","Corps of Engineers--Civil Works",2555,"Coastal Wetlands Restoration Trust Fund, Corps of Engineers - Civil",4820302.95,328485244.5,5957
"US Agencies - Non-CFO Act","Corps of Engineers--Civil Works",2557,"Rivers and Harbors Contributed and Advance Funds, Corps of Engineers, Civil",267851242.6,889759121.8,5959
"US Agencies - Non-CFO Act","Administrative Conference of the United States",2658,"Salaries and Expenses, Administrative Conference of the United States",1474231.03,1937367.47,6078
